timestamp,ticket,symbol,direction,entry_price,exit_price,sl_distance,atr,pnl,rr,norm_pnl,label,outcome_class,reward_ratio,mfe,mae,time_in_trade,volatility_normalized_reward
2026-02-10 22:01:37,29471006,CADCHF,long,0.56691,0.5639,0.00158,0.000795,-0.00301,-1.9051,-3.7862,0,loss,-1.9051,0.00019,0.00027,142.13,-2396.306027
2026-02-10 22:01:37,29503061,AUDCHF,long,0.54355,0.54018,0.00184,0.000892,-0.00337,-1.8315,-3.7774,0,loss,-1.8315,0.0,0.0003,16.25,-2052.946705
2026-02-10 22:01:37,29503063,NZDCHF,long,0.46451,0.46174,0.00131,0.000646,-0.00277,-2.1145,-4.2898,0,loss,-2.1145,0.0,0.0005,16.25,-3274.674053
2026-02-10 22:13:54,29503398,CHFSGD,short,1.64706,1.65168,0.00426,0.002179,-0.00462,-1.0845,-2.12,0,loss,-1.0845,0.0,0.00398,27.43,-497.643349
2026-02-11 01:33:23,29503945,CN50,long,15032.05,14995.55,35.69,16.157143,-36.5,-1.0227,-2.2591,0,loss,-1.0227,9.9,28.3,225.68,-0.063297
2026-02-11 02:02:32,29570545,XAGUSD,long,82.016,82.046,1.921,0.970429,0.03,0.0156,0.0309,1,win,0.0156,0.097,0.0,-117.95,0.016093
2026-02-11 02:17:51,29531837,NZDUSD,short,0.60344,0.60534,0.0019,0.000949,-0.0019,-1.0,-2.003,0,loss,-1.0,0.0,0.00178,81.1,-1054.216867
2026-02-11 02:25:01,29532971,AUDNZD,long,1.17106,1.17389,0.00192,0.000957,0.00283,1.474,2.9567,1,win,1.474,0.00256,0.0005,83.16,1539.956468
2026-02-11 03:16:16,29576508,XAGUSD,long,81.992,82.212,1.987,0.993571,0.22,0.1107,0.2214,1,win,0.1107,0.547,0.057,-62.63,0.111436
